absolutely,intj1
achoo,intj2
ack,intj3
ahh,intj4
aha,intj5
ahem,intj6
ahoy,intj7
agreed,intj8
alas,intj9
alright,intj10
alrighty,intj11
alack,intj12
amen,intj13
anytime,intj14
argh,intj15
anyhoo,intj16
anyhow,intj17
as if,intj18
attaboy,intj19
attagirl,intj20
aww,intj21
awful,intj22
bam,intj23
bah,intj24
behold,intj25
bingo,intj26
blah,intj27
bless,intj28
boo,intj29
bravo,intj30
cheers,intj31
crud,intj32
darn,intj33
dang,intj34
doh,intj35
drat,intj36
duh,intj37
eek,intj38
eh,intj39
gee,intj40
geepers,intj41
whiz,intj42
golly,intj43
goodness,intj44
gracious,intj45
gosh,intj46
ha,intj47
hallelujah,intj48
hey,intj49
hi,intj50
hmmm,intj51
huh,intj52
indeed,intj53
jeez,intj54
no,intj55
now,intj56
nah,intj57
oops,intj58
ouch,intj59
phew,intj60
please,intj61
rats,intj62
shoot,intj63
shucks,intj64
there,intj65
tut,intj66
uggh,intj67
waa,intj68
what,intj69
woah,intj70
woops,intj71
wow,intj72
yay,intj73
yes,intj74
yikes,intj75
aduh,intj76
aduhai,intj77
ah,intj78
ahh,intj79
aii,intj80
aik,intj81
aiya,intj82
alahai,intj83
amboi,intj84
boo,intj85
celaka,intj86
cih,intj87
cis,intj88
coi,intj89
eh,intj90
ehh,intj91
haha,intj92
hai,intj93
hai,intj94
haish,intj95
hmmm,intj96
hoi,intj97
hoorey,intj98
kahak,intj99
lah,intj100
lala,intj101
nah,intj102
oh,intj103
ooi,intj104
oops,intj105
pehh,intj106
puii,intj107
puik,intj108
syok,intj109
tuih,intj110
uwek,intj111
wah,intj112
wahai,intj113
weii,intj114
wow,intj115
yahoo,intj116
yay,intj117
zzz,intj118
